participantId,ageGroup,questionType,epistemic,p_hypothesis,n_trials
TT066_1784688566025,Older,close,hmm,1.0,6
TT067_1784399877039,Older,boss,hmm,0.16666666666666666,6
TT067_1784399877039,Older,close,yes,1.0,6
TT069_1783100190815,Older,boss,yes,0.8333333333333334,6
TT069_1783100190815,Older,close,hmm,0.3333333333333333,6
TT070_1782579104833,Older,boss,hmm,0.16666666666666666,6
TT070_1782579104833,Older,close,yes,1.0,6
TT071_1781905409601,Younger,boss,yes,0.5,6
TT071_1781905409601,Younger,close,hmm,0.8333333333333334,6
TT071_1782297949946,Older,boss,yes,0.3333333333333333,6
TT071_1782297949946,Older,close,yes,0.8333333333333334,6
TT071_1783881857550,Younger,boss,hmm,0.5,6
TT071_1783881857550,Younger,close,yes,0.6666666666666666,6
TT071_1784835831793,Younger,boss,hmm,0.3333333333333333,6
TT071_1784835831793,Younger,close,yes,0.0,6
TT073_1781970589718,Older,boss,hmm,0.16666666666666666,6
TT073_1781970589718,Older,close,hmm,0.16666666666666666,6
TT073_1782589793705,Younger,boss,yes,0.3333333333333333,6
TT073_1782589793705,Younger,close,yes,0.5,6
TT073_1783346232390,Older,boss,yes,0.5,6
TT073_1783346232390,Older,close,hmm,0.8333333333333334,6
TT074_1784234969944,Younger,boss,hmm,0.6666666666666666,6
TT074_1784234969944,Younger,close,hmm,0.8333333333333334,6
TT075_1783367533391,Younger,boss,hmm,0.16666666666666666,6
TT075_1783367533391,Younger,close,hmm,0.5,6
TT076_1784389092899,Younger,boss,hmm,0.16666666666666666,6
TT076_1784389092899,Younger,close,yes,1.0,6
TT076_1784672510159,Younger,boss,hmm,0.3333333333333333,6
TT076_1784672510159,Younger,close,yes,0.0,6
TT077_1782229399324,Younger,boss,yes,0.3333333333333333,6
TT077_1782229399324,Younger,close,yes,0.3333333333333333,6
TT081_1785111188250,Older,boss,yes,0.5,6
TT081_1785111188250,Older,close,yes,0.8333333333333334,6
TT083_1782904190648,Older,boss,yes,0.3333333333333333,6
TT083_1782904190648,Older,close,yes,0.6666666666666666,6
TT083_1783863355259,Younger,boss,yes,0.5,6
TT083_1783863355259,Younger,close,hmm,0.5,6
TT084_1783452047311,Older,boss,hmm,0.16666666666666666,6
TT084_1783452047311,Older,close,hmm,0.8333333333333334,6
TT085_1783884283223,Older,boss,yes,0.5,6
TT085_1783884283223,Older,close,hmm,0.16666666666666666,6
TT086_1782951050349,Older,boss,hmm,0.16666666666666666,6
TT086_1782951050349,Older,close,yes,1.0,6
TT086_1784258348491,Older,boss,yes,0.16666666666666666,6
TT086_1784258348491,Older,close,yes,1.0,6
TT086_1784989217839,Older,boss,hmm,0.3333333333333333,6
TT086_1784989217839,Older,close,hmm,1.0,6
TT087_1782243522990,Younger,boss,yes,0.0,6
TT087_1782243522990,Younger,close,yes,1.0,6
TT088_1782352905990,Younger,boss,yes,0.3333333333333333,6
TT088_1782352905990,Younger,close,yes,0.6666666666666666,6
TT088_1783353983337,Younger,boss,yes,0.6666666666666666,6
TT088_1783353983337,Younger,close,yes,0.5,6
TT088_1784141255125,Older,boss,yes,0.5,6
TT088_1784141255125,Older,close,yes,0.6666666666666666,6
TT089_1782853535882,Older,boss,yes,0.0,6
TT089_1782853535882,Older,close,hmm,1.0,6
TT089_1785095714670,Older,boss,yes,0.6666666666666666,6
TT089_1785095714670,Older,close,yes,0.0,6
TT089_1785165592694,Older,boss,hmm,0.3333333333333333,6
TT089_1785165592694,Older,close,yes,0.6666666666666666,6
TT091_1783199020454,Older,boss,yes,0.3333333333333333,6
TT091_1783199020454,Older,close,hmm,1.0,6
TT091_1783605208290,Younger,boss,yes,0.0,6
TT091_1783605208290,Younger,close,yes,1.0,6
TT091_1785033488535,Younger,boss,hmm,0.16666666666666666,6
TT091_1785033488535,Younger,close,hmm,0.3333333333333333,6
TT092_1782062165784,Younger,boss,hmm,0.5,6
TT092_1782062165784,Younger,close,yes,0.3333333333333333,6
TT093_1782146028308,Younger,boss,hmm,0.3333333333333333,6
TT093_1782146028308,Younger,close,hmm,0.6666666666666666,6
TT093_1783090754524,Older,boss,yes,0.16666666666666666,6
TT093_1783090754524,Older,close,hmm,0.6666666666666666,6
TT093_1783283180623,Younger,boss,hmm,0.6666666666666666,6
TT093_1783283180623,Younger,close,hmm,0.5,6
TT093_1784850112799,Younger,boss,hmm,0.0,6
TT093_1784850112799,Younger,close,hmm,0.3333333333333333,6
TT094_1782500498851,Older,boss,hmm,0.8333333333333334,6
TT094_1782500498851,Older,close,yes,0.3333333333333333,6
TT094_1783365963313,Younger,boss,yes,0.5,6
TT094_1783365963313,Younger,close,hmm,0.3333333333333333,6
TT094_1783443706310,Older,boss,hmm,0.0,6
TT094_1783443706310,Older,close,yes,0.6666666666666666,6
TT095_1782425269794,Older,boss,yes,0.0,2
TT095_1782425269794,Older,close,hmm,0.5,6
TT098_1781998891844,Older,boss,yes,0.3333333333333333,6
TT098_1781998891844,Older,close,yes,1.0,6
